Название вакансии,URL,Название компании,Требования
Разработчик интерфейсов Яндекс.Работу,https://hh.ru/vacancy/35612490?query=Node, Яндекс,Работать над мобильной и десктопной версией сервиса. Разрабатывать инструментарий для наших партнеров. Уверенное знание нативного JS. Хорошее знание стека React+Redux и опыт работы с ним. Опыт адаптивной верстки. Опыт работы с Node.js. 
Backend developer GoLang,https://hh.ru/vacancy/34526835?query=Node,ООО Свекор,"Заниматься реализацией высоконагруженных сервисов. Проектировать архитектуру и разрабатывать решения по отказоустойчивости и производительности с нуля. Проводить Unit-тестирование.  Опыт промышленной разработки на GoLang от года. Знание, как минимум еще одного языка программирования (Java, Python, Javascript/Node.js, ...) с опытом..."
Старший Web программист,https://hh.ru/vacancy/34548522?query=Node," АРМО, ГК","Добавление новой функциональности к существующему Frontend приложению, доработка, рефакторинг и исправление в нем багов. Участие в широком спектре работ, связанных... Опыт разработки на Javascript от 3 года. Знание node.js. Умение работать в команде."
Программист-разработчик,https://hh.ru/vacancy/35591786?query=Node,ООО Мед-Статус,Доработка существующей коммуникационной среды. Расширение функционала в рамках существующего фрэймворка. JS фронтенд (опыт работы с Node.js также будет большим плюсом). JS ECMA6+. Websocket API (JS). HTML5 верстка...
Web developer,https://hh.ru/vacancy/35591869?query=Node, DigitalHR,"Представление о том, как работает Asterisk и его клиенты. Отлавливание и устранение проблем с приложениями при высоких нагрузках. PHP 5.6, 7+. SQL (желательно опыт с MySQL/Postgres). Git. Технический английский язык. Знание того, как работает современная..."
Старший преподаватель курса по Web-разработке (JavaScript) в г. Баку,https://hh.ru/vacancy/35603415?query=Node, Алгоритмика,"Присутствовать на площадке буткэмпа и помогать студентам разбираться в теме уроков, в выполнении упражнений / разработке проектов (первый проект в Азербайджане... Уверенные знания и опыт в предметной области как минимум в одном модуле программы — HTML / CSS / DOM / JS / React / API / Node.js. "
Senior Frontend Developer (React),https://hh.ru/vacancy/35543912?query=Node, Сбербанк для экспертов,"АС Платформа КибеБерзопасности - платформа для защиты инфраструктуры, клиентов банка, разрабатываемого ПО от рисков киберугроз. Система используется для: 1.  Практический опыт проектирования и разработки на React от 2-х лет. - Опыт работы с библиотеками состояний redux / mobx / context api. - "
Frontend Developer (React) - Middle/Senior,https://hh.ru/vacancy/35533875?query=Node, GOST-group,"Разработка интерфейса приложения в рамках проекта, как на основании наших внутренних библиотек, так и open source решений. Разработка внутренних проектов.  Опыт работы в аналогичной позиции от 2 лет в ИТ компаниях на проектах web-разработки. Практический опыт работы с указанным..."
Java-разработчик в команду Trade Finance,https://hh.ru/vacancy/34939775?query=Node, Райффайзенбанк,"Наша команда Trade Finance занимается развитием продуктов торгового финансирования (гарантий, аккредитивов, документарного инкассо, структурированных продуктов торгового финансирования) и других смежных... Плюсом будет: Знание JavaScript: ES5+, Node, NPM. Понимание принципов работы по методологии Agile (Scrum, Kanban, etc.). "
Ведущий разработчик/Lead developer,https://hh.ru/vacancy/35631701?query=Node, МСП Банк,"Доработка и разработка функционала системы АИС НГС ( yа основе BPM-Online). Написание unit тестов. Участие в разработке технической документации.  Высшее техническое образование (приветствуется второе высшее в экономике, финансах). Большой опыт разработки на JavaScript (ES5, ES6+), C#..."
Junior-разработчик,https://hh.ru/vacancy/35174373?query=Node, AWATERA,"На фронтенде React. Git, GitLab, статические анализаторы кода и перекрестное ревью кода в команде. Chai и Mocha для автотестов.  Документировать существующий код. В работе вам потребуются: Знание основных структур данных, а также методов работы с ними. Навык работы с..."
Старший программист С++,https://hh.ru/vacancy/34548980?query=Node," АРМО, ГК","Работа в backend/middleware частях проекта видеонаблюдению и других проектов компании. Участие в широком спектре работ, связанных с разработкой: аналитика... Опыт от 2 лет разработки в Qt на С++ под Windows/Linux. Опыт работы в команде (предоставить информацию по проектам..."
Flutter разработчик,https://hh.ru/vacancy/35561563?query=Node, Qavala,"Qavala - платежный сервис, поддерживающий операции с долларами, евро, фунтами с возможностью выпуска пластиковой карты. Активно участвовать в процессе разработки, начиная... Обладает опытом разработки на Flutter (Dart) от одного года. Обладает опытом разработки на JavaScript от двух лет. Будет плюсом: Навык..."
Frontend-разработчик/Ведущий Frontend разработчик - Группа разработки цифровых продуктов,https://hh.ru/vacancy/35564550?query=Node, Deloitte,"Участие в разработке цифровых продуктов для крупных компаний, преимущественно B2B-платформ. Руководство командой разработчиков. Совершенствование процессов разработки пользовательских... Умение легко и успешно применять в работе ES6-7, TypeScript, CSS3/SCSS, HTML5. Опыт работы с JavaScript..."
Frontend-разработчик в команду Cash Management,https://hh.ru/vacancy/34869281?query=Node, Райффайзенбанк,"Работать в сильной команде, возможность принимать решения на равных (никаких должностей, только роли). Разрабатывать фронтовую часть продукта. Участвовать в разработке... Отлично владеет базовыми технологиями — JavaScript, DOM, CSS, Browser API. Имеет опыт разработки приложений на React. Имеете опыт работы с Node.js..."
Senior web-developer / teamlead,https://hh.ru/vacancy/35422266?query=Node,ООО Фейскаст,"Управление командой разработчиков. Внедрение общего стиля разработки, подходов к тестированию и эксплуатации. Декомпозиция задач, оценка их сложности, распределение по разработчикам... Стек: Node.js, Docker, Golang. Ваше участие в разработке в большей частью будет касаться бекенда, но знать фронтовые технологии (HTML +..."
Разработчик интерфейсов,https://hh.ru/vacancy/34781768?query=Node, Яндекс,"Яндекс нанимает разработчиков интерфейсов через Буткемп — восьминедельную программу для опытных фронтендеров. Её участники не прикреплены к определённым проектам, а поочерёдно... Обязательны: Отличное владение чистым JS. Хорошее знание HTML и CSS. Умение работать с Git. Опыт кроссбраузерной разработки. Опыт клиентской/серверной..."
Junior QA engineer,https://hh.ru/vacancy/35542194?query=Node,ООО Навигационные решения,"Разработка тест-плана, тестовых сценариев. Выполнение тестовых сценариев во время разработки новых фич. Функциональное и кросс-браузерное тестирование вэб-приложений.  Обладаешь техническим образованием. Понимать принципы работы и построения web-приложений. Имеешь минимальный опыт работы QA инженером и сильное желание развиваться..."
DevOps инженер,https://hh.ru/vacancy/34772656?query=Node, TUI Russia & CIS,"Настройка и управление CI/CD процессами компании. Контейнеризация микросервисов и управление ими. Отладка микросервисов в среде Linux и docker контейнерах.  Твердое понимание технологий контейнеризации и виртуализации. Подтвержденный опыт работы с Docker, K8s в части разработки и развертывания. "
Разработчик скриптов (NodeJS),https://hh.ru/vacancy/35541393?query=Node,ООО ЛУИС+,В связи с активным ростом и развитием бизнеса мы в поисках Разработчика скриптов обработки данных. Функции: Работа с товарным каталогом... Высшее техническое образование. Желательно понимание электрических и технических свойств товаров. Программирование на NodeJS. Регулярные выражения на высоком уровне. 
Старший преподаватель курса по Web-разработке (JavaScript) в г. Баку,https://hh.ru/vacancy/35572002?query=Node, Алгоритмика,"Присутствовать на площадке буткэмпа и помогать студентам разбираться в теме уроков, в выполнении упражнений / разработке проектов (первый проект в Азербайджане... Уверенные знания и опыт в предметной области как минимум в одном модуле программы — HTML / CSS / DOM / JS / React / API / Node.js. "
Разработчик JavaScript,https://hh.ru/vacancy/34181816?query=Node, Selecty,"Участие в проекте e-commerce в роли front-end разработчика. Работа в agile-команде. Разработка приложений на Spartacus( is a... Отличные знания JavaScript, HTML5, CSS3. Уверенное знание Angular, Node.js. Опыт работы с Git по git flow. "
Ведущий frontend-разработчик,https://hh.ru/vacancy/35537406?query=Node, Selecty,Сode review других разработчиков. - Техническое консультирование менеджера по продукту и помощь в принятии решений. - Определение ключевых метрик системы и ответственность... Владение ReactJS. - Владение NodeJS. - Отличное владение чистым JS. - Хорошее знание HTML и CSS. - Опыт кроссбраузерной разработки. - Работа с системами контроля...
NodeJS Back-End разработчик,https://hh.ru/vacancy/35502761?query=Node, БЕСТ-Новострой,"Участие в создании программного продукта. Развитие и сопровождение программного продукта. Внедрение новых технологий в имеющийся программный продукт. Уверенные знания NodeJS (ES6), Redis, PostgreSQL, очереди, JWT, git (gitlab). Понимание работы kubernetes, ci/cd (gitlab), ssr (nuxt). "
Qa engineer (Middle),https://hh.ru/vacancy/35562293?query=Node,ООО Сравни.ру,Анализировать требования и писать чек-листы / тест-кейсы. Проводить ручное тестирование front-end’а / backend’а нашего приложения.  Ведение тестовой документации (Написание тест-кейсов/ чек-листов). Тестирование API(Postmanи Swagger). Чтение и анализ логов (Kibana). Умение написать простые...
Senior Android Developer,https://hh.ru/vacancy/35609066?query=Node," EPAM Systems, Inc.","Develop mobile applications. Deliver the software product according to priorities. Take part in meetings, technical discussions. Answer client inquiries in... 3+ years of experience in Android development. Strong knowledge of the Android SDK, different versions of Android, and how..."
Full Stack developer,https://hh.ru/vacancy/35533204?query=Node, DigitalHR,Developing and improving services that support company's platforms and products. Taking operational responsibility for the services that you and... You excel with energy and endurance. You understand that building a company is hard but that is what you want...
Middle/Senior Frontend Developer,https://hh.ru/vacancy/35537672?query=Node, Altermeliora OU,"React (TypeScript). Redux. Redux-Saga. And Design. Gatsby.JS. GraphQL. Proven record of developing commercial-grade applications using JavaScript, TypeScript, and front-end frameworks (React preferably). Experience in unit-, integration..."
Full Stack Developer (Hyundai Mobility),https://hh.ru/vacancy/35515630?query=Node,ООО Hyundai Motor CIS,"Разработка серверных и мобильных приложений и веб-сервисов. Проектирование архитектуры взаимодействия клиент-сервер. Обновление и поддержка библиотек и компонентов.  Высшее образование, техническое приветствуется. Опыт работы с языками программирования Javascript (ES6), TypeScript (от 3-х лет и более). "
Ведущий разработчик – back-end,https://hh.ru/vacancy/35549225?query=Node, РОСГОССТРАХ Банк,"Разработка универсальных микросервисов на омниканальной платформе для фронтальных решений ДБО (мобильная и web-версия), сайта, ЕФО. Разработка и поддержка API... Опыт работы в данной должности: не менее 5 лет. Управление командами разработчиков не менее 3 человек. Участие/управление проектами. "
Senior Frontend разработчик (VK Pay),https://hh.ru/vacancy/34638461?query=Node," Mail.Ru Group, Решения для бизнеса","Работать над архитектурой всего продукта и принимать активное участие в развитии продукта. Оптимизировать рабочие процессы в группе фронтенд-разработки.  Глубокие знания принципов работы JavaScript (ES6), CSS, сетей. React, Redux, Webpack и экосистема современной сборки. Умение верстать и любовь..."
Руководитель группы веб-разработки / Web Team Lead (Маркетинговая аналитика),https://hh.ru/vacancy/35572001?query=Node, MANGO OFFICE,"Разработка приложений и сервисов на PHP и Node.JS. Управление группой разработчиков, постановка задач и контроль их исполнения. Планирование и координация... Высшее техническое образование. Отличные знания PHP, Node.JS и TypeScript. Опыт работы с базами данных PostgreSQL, MongoDB, Redis. Понимание микросервисной архитектуры..."
K8s Engineer (Middle),https://hh.ru/vacancy/35534434?query=Node, Тинькофф,"Экспертиза в области интеграции низкоуровневых компонентов K8s: спецификации CSI, CNI. Чем придётся заниматься: Поддержка CI/CD и тестирование... Практические навыки администрирования production кластеров (15+ nodes). Умение писать автоматизацию на: bash, python. Знание инструментов и подходов принятых в..."
QA Engineer (Клубная платформа),https://hh.ru/vacancy/34210550?query=Node, BingoBoom,"Ручное функциональное, интеграционное, регрессионное тестирование сервисов в огромной микросервисной архитектуре. Составление тест-кейсов и ведение тестовой документации. Разработка сценариев для... Понимание жизненного цикла программного обеспечения. Опыт проведения функционального,интеграционного, регрессионного тестирования. Опыт работы и понимание алгоритмов запросов (HTTP/WebSocket). "
Программист-разработчик JavaScript,https://hh.ru/vacancy/35485831?query=Node,ЗАО ОС-Технолоджи,"Разработка и поддержка ПО. Диагностирование и устранение неполадок в работе ПО, консультирование сотрудников заказчика. Ключевые навыки: Самостоятельность и ответственность. Умение самостоятельно обучаться, разбираться в программном обеспечении, средствах разработки и протоколах обмена данными. "
Middle/Senior JavaScript Developer,https://hh.ru/vacancy/35063477?query=Node, Сбербанк для экспертов,"Разработка портала и модулей платформы: авторизации и регистрации, управления данными, поиска, управления продуктами, взаимодействия с пользователями. Разработка фронтальной части инструментов... Знание ES6 и выше или TypeScript. Опыт разработки на react.js / vue.js / angular.js. Желателен опыт работы с node.js (express, koa..."
Middle Front-end разработчик,https://hh.ru/vacancy/35462710?query=Node, Фьюче,"Работка сложных front-end приложений. Node JS. Разработка чат-ботов. Изучение Unix. Разрабатывать веб проекты на React или Vue. Учиться и перенимать опыт у коллег, делится своим. Работать над интересными проектами. "
Senior Frontend Developer (JS/React),https://hh.ru/vacancy/35447060?query=Node, AdMe,"Высоконагруженная система управления производством контента. Облачные решения для видео и анимационного производства. Внутренний электронный документооборот и система расчетов.  Обширный опыт программирования на JavaScript (5+ лет). Опыт работы c React и Redux. Знание ES5, ES6, async..."
Full Stack Developer,https://hh.ru/vacancy/35507111?query=Node, Kelly,"As a Developer, you will be hands-on in the development of highly scalable enterprise products. The role includes but... C# Experience. Angular 2+ Experience a plus. Node.js Experience a plus. Golang Experience a plus. Solid knowledge of cross..."
Middle Frontend-разработчик (Daily Banking Team),https://hh.ru/vacancy/34233641?query=Node," ОТП Банк, АО (OTP bank)","Анализ, разработка, тестирование front-end решения - InstantLoan для сотрудников и для клиентов (через сайт) для ведения и продажи комиссионных продуктов.  Написание UserStory, моделирование архитектуры приложений, разработка ПО в условиях микросервистной архитектуры. Знание брокерской платформы Bellwood - как плюс. SPA, ReactJS, node.js..."
Lead Java Developer,https://hh.ru/vacancy/34855962?query=Node, Леруа Мерлен. Центральный офис,"Code-review и проработка архитектуры с аутсорс командами. Выстраивать архитектуру группы приложений. Собственная разработка и поддержка приложения в области интернет... С Java, Kotlin, Groovy как основным языком разработки. Разработки в Spring. Опыт использования Docker, Kubernetes. Представление об алгоритмах распределенной обработки. "
Senior Fullstack JavaScript Developer,https://hh.ru/vacancy/35476059?query=Node, Luxoft,"Support and extension for a variety of projects for creating different types of orders from the input data/strategy/another... In particular: Skills: 3+ years of experience in software development. Strong programming skills in Java, JavaScript. Recent working experience..."
Back-end разработчик,https://hh.ru/vacancy/33986714?query=Node, LATOKEN,"Создание и развитие сервисов, предоставляющих доступ к данным в блокчейне. Участие в проектировании АПИ, архитектуры. Проектирование и разработка отказоустойчивых сервисов. Разработка back-end от 2-х лет (Node.js/C++/C#/Java/Python). Опыт работы с Docker. Знание SQL ( PostgreSQL). "
Backend Developer,https://hh.ru/vacancy/34538487?query=Node, goods,"Разрабатывать API для сервисов goods.ru. Разрабатывать с нуля высоконагруженные сервисы. Разрабатывать сопутствующие микросервисы для поддержания и развития бизнеса. Опыт разработки от 2-х лет (готовы рассмотреть backend разработчиков, желающих получить опыт на Go). Понимать, как устроен HTTP. "
Backend developer (NodeJS),https://hh.ru/vacancy/35462854?query=Node, Neurodata Lab,"Развитие и поддержание существующих веб-сервисов. Создание новых веб-приложений. Участие в построении архитектуры приложений. Написание автотестов, проведение code-review.  Знание NodeJS на высоком уровне, в том числе опыт с Express. Знание паттернов архитектурирования, в том числе микросервисы. "
JavaScript разработчик (крупный и средний бизнес),https://hh.ru/vacancy/35245433?query=Node, Сбербанк для экспертов,"Typescript / Flow. Objective C / Swift (для разработки мобильных приложений). Отличное владение JS - от 3 лет. Знание Node.js. HTML. CSS. RESTful API. React / ReactNative. Понимание ООП, знание и применение паттернов. "
Фронтенд-разработчик в Маркет,https://hh.ru/vacancy/35502770?query=Node, Яндекс,"Разработка интерфейсных компонентов (верстка, логика, БЭМ). Клиентская и серверная логика на JS. Отличное владение чистым JS. Хорошее знание HTML/CSS. Умение работать с GIT. Опыт клиентской/серверной разработки для веба от одного..."
Технический директор(CTO) / Руководитель web проектов,https://hh.ru/vacancy/35628957?query=Node,ИП Дубовицкая Светлана Владимировна,"Обеспечение эффективной загруженности разработчиков и менеджеров проектов. Обеспечение рентабельности и соблюдения сроков всех коммерческих проектов. Управление коллективом разработчиков, подбор, адаптация... Опыт на позиции CTO. Опыт управления digital-проектами (мобильные приложения, корпоративные сайты и т.д.) от 6 лет. "
Senior Frontend разработчик,https://hh.ru/vacancy/35459657?query=Node, zClick.pro,"Разработка нового функционала и новых проектов. Поддержка существующих легаси-проектов. Рефакторинг текущей кодовой базы. Поиск ошибок, их устранение.  опыт разработки веб-приложений на JQuery, NodeJS, Angular от 3 лет. - уверенное владение современными возможностями языка Javascript. - отличное знание HTML..."
JavaScript Developer with Angular,https://hh.ru/vacancy/35415173?query=Node, Luxoft,Support and extension for a variety of projects for creating different types of orders from the input data/strategy/another... In particular: 3+ years of experience in software development. Strong programming skills in JavaScript. Recent working experience with NodeJs...
Frontend developer (Decathlon),https://hh.ru/vacancy/35243482?query=Node, Kelly,"Work on frontend development of company external new projects. Advise technical solutions. Work on projects with other developers.  VUE JS as a plus (or experience in React, Angular). Vanilla JS. Node JS (npm) as a plus, webpack as..."
Web-разработчик,https://hh.ru/vacancy/35482591?query=Node, PRIDEX Group,"Разработка и рефакторинг компонентов сайта разной сложности (frontend/backend): frontend: разработка приложений на основе REST API, для внутренних задач компании... Опыт работы с React, Angular или Vue. Знание популярных frontend фреймворков (Bootstrap, material …). Опыт разработки backend на Javascript или Python. "
Blockchain Developer (Junior),https://hh.ru/vacancy/33842832?query=Node, LATOKEN,You will start from an integration of blockchains into our Centralized Exchange to automate custody and tokens deposit/withdrawal functions... Experience in one of C++/Python/Go/C#/Node.js. You want to create world-changing products. Understanding the base concepts...
Программист PHP,https://hh.ru/vacancy/35491255?query=Node,ООО АЛЬТАМИР, 
Payments Integration Developer,https://hh.ru/vacancy/33986793?query=Node, LATOKEN,Integrate blockchains and payment service providers into our Centralized Exchange to automate custody and deposit/withdrawal functions. Develop secure and... 2+ years of development experience. Experience in one of Node.js/C++/C#/Java/Python. You want to create world...
Архитектор решений,https://hh.ru/vacancy/35526940?query=Node," ВСК, САО","Проведение оценки корректности бизнес- требований, архитектурных решений для реализации бизнес-требований, разработка сопроводительной документации. Участие в разработке архитектурных решений Компании... Опыт разработки и проектирования высоконагруженных веб-информационных систем. Знание паттернов проектирования и разработки ИС. Знание и умение подготовки архитектурной документации..."
Frontend разработчик (Почта/Календарь),https://hh.ru/vacancy/35432487?query=Node," Mail.Ru Group, Почтовые сервисы","Разработка новых интерфейсов Почты и Календаря. Разработка фунциональности для корпоративных клиентов. Обеспечение безопасности данных пользователей. Профессионально владеть чистым JavaScript. Уметь оценивать объем и сроки работ, а потом делать обещанное вовремя без лишних напоминаний. "
PHP/ GO Developer,https://hh.ru/vacancy/34538502?query=Node, goods,"Разрабатывать API для сервисов goods.ru. Разрабатывать с нуля высоконагруженные сервисы. Разрабатывать сопутствующие микросервисы для поддержания и развития бизнеса. Опыт разработки от 2-х лет (готовы рассмотреть backend разработчиков, желающих получить опыт на Go). Понимать, как устроен HTTP. "
Разработчик фронтенда партнерских продуктов в Яндекс.Такси,https://hh.ru/vacancy/35548963?query=Node, Яндекс,"Отдел партнерских продуктов Яндекс.Такси создает сервисы для водителей, таксопарков и партнеров. Мы работаем над ключевым продуктом (Диспетчерская таксопарков), инструментами управления... Опыт работы с библиотеками React, Redux, TS. Знание платформы Node.js и спецификации ES6. Отличное владение JavaScript. Хорошее знание HTML..."
Блокчейн Разработчик (Blockchain Engineer),https://hh.ru/vacancy/35359808?query=Node, LATOKEN,"Cross-chain интеграции и обмен. Выдающиеся технические, математические навыки и навыки решения проблем (уровень финалистов ACM/ICPC). Большой опыт в одном из языков: C++/C#..."
Бэкенд разработчик Django REST Framework,https://hh.ru/vacancy/35416848?query=Node,ООО Студия 127,"Разработка бэкенда веб приложений. Проектирование баз данных. Документирование API. Уверенные знания Django REST Framework. Понимание принципов MVC. Опыт работы с другими бэкенд фреймворками (ASP.NET, Node.js). Опыт работы с React..."
Senior Quant Middleware Exchange Engineer,https://hh.ru/vacancy/33986798?query=Node, LATOKEN,"Architect microservice middleware exchange infrastructure to support services: user, asset/NAV, order books, trades, transfers, APIs etc. Optimize middleware services... 4+ year of development experience in a high pace international capital markets firm. Outstanding quantitative and problem-solving skills. "
Разработчик интерфейсов в Яндекс,https://hh.ru/vacancy/35486679?query=Node, Яндекс,"Яндекс нанимает разработчиков интерфейсов через Буткемп — восьминедельную программу для опытных фронтендеров. Её участники не прикреплены к определённым проектам, а поочерёдно... Обязательны: Отличное владение чистым JS. Хорошее знание HTML и CSS. Умение работать с Git. Опыт кроссбраузерной разработки. Опыт клиентской/серверной..."
Teamlead Frontend,https://hh.ru/vacancy/35063496?query=Node, Сбербанк для руководителей,"Разработка программной платформы для создания новых устройств и сервисов Cбербанка. Будет участвовать в формировании команды. При этом сам готов писать активно код, особенно на старте проекта, и делать качественное ревью код членов своей группы. "
Backend developer,https://hh.ru/vacancy/35472323?query=Node, WINLINE,"Развитие и поддержка активного проекта. Участие в проектировании API / архитектуры. Проведение code-review. Оптимизация, профилирование, рефакторинг приложения. Написание тестов. Уверенное знание Node.js, ES6/7. Опыт работы с базами данных (PostgreSQL). Знание протоколов HTTP и WS, умение работать с..."
Блокчейн разработчик (интеграции),https://hh.ru/vacancy/35032046?query=Node, LATOKEN,"Интеграция блокчейнов и провайдеров платежных услуг в нашу централизованную биржу для автоматизации функций хранения и ввода/вывода средств.  Кому подходит. Опыт работы на: C++/Python/Go/C#/Node.js 2+ лет. Выдающиеся технические, математические навыки и навыки решения..."
HFT Engineer Teamlead / Director,https://hh.ru/vacancy/33986672?query=Node, LATOKEN,Architect develop and support HFT connectivity solution for CEX. Oversee development of proprietary risk and liquidity platform. Contribute to matching... 5+ year of high load low latency trading infrastructure development experience in a tier 1 broker or trading institution. 
Ведущий Frontend-разработчик / TechLead (м.Павелецкая/Добрынинская),https://hh.ru/vacancy/35410410?query=Node, Star-staff,"Отличный JavaScript, разработка на Vue. Опыт разработки SPA. Плюсом будут знание Pug, Sass. Важен опыт работы в командах с выстроенными процессами разработки и их понимание."
Senior Frontend Developer,https://hh.ru/vacancy/35434759?query=Node,ООО Bookmate,"Type checking with Flow. React. You have at least 3 years' experience in frontend web development. You are fluent in vanilla JavaScript, familiar with both..."
Разработчик Frontend (Юнит Avito People),https://hh.ru/vacancy/35440120?query=Node, Авито,"Юнит Avito People отвечает за внутренний сервис для сотрудников: автоматизация всех процессов HR (кроме кадровых), Performance Review для всех сотрудников... Мы работаем в технологическом стеке Авито, внедряем микросервисную архитектуру. Нам нужен человек со знанием React/Redux и желанием работать с..."
"Senior Full-Stack Developer (PHP, JS, Laravel)",https://hh.ru/vacancy/35469910?query=Node, AdIntelligence Limited,"Design architectures for HTTP APIs and services. Write unit and functional tests to ensure the quality of our software.  You have at least 5 years of experience as a PHP developer. Experience with PHP frameworks (Laravel, Symfony). "
DevOps Engineer,https://hh.ru/vacancy/33986706?query=Node, LATOKEN,"Support of the server-side infrastructure: Docker, Nginx, Node.js, C++, Java, configuration management, load balancing (HAProxy). Maintaining databases: MySQL, PostgreSQL... Strong experience in DB administration (MySQL, PostgreSQL), setting up replications and creating backups. Experience as a Linux administrator for at..."
Senior FullStack Developer,https://hh.ru/vacancy/31529007?query=Node,ООО Gett,Developing user-facing features using React.js. Building reusable components and front-end libraries for future use. Experience in developing server applications using Golang/Ruby/Node.js/Python. Experience in developing client applications using popular frameworks. 
QA Engineer,https://hh.ru/vacancy/35442838?query=Node,ООО Каршеринг Руссия,"Функциональное тестирование продуктов компании: мобильные приложения, backend, web. Взаимодействие с разработчиками, менеджерами и дизайнерами. Анализ и уточнение требований, контроль исправления... Опыт тестирования api (понимание протокола HTTP, REST, работа с Postman). Опыт тестирования мобильных приложений. Умение работать с командной строкой Linux..."
Chief Information Security Officer (CISO),https://hh.ru/vacancy/33816508?query=Node, LATOKEN,"Creation and development of an automated security system and participation in the development of the platform architecture. Event monitoring, identification... 6+ years of experience in programming language analysis: C ++/C#/JavaScript (Node.js or Frontend). Knowledge of PCI DSS..."
Руководитель группы разработки / CTO,https://hh.ru/vacancy/35143495?query=Node, АДВ,"Управлять разработкой в команде продуктового офиса, декомпозировать задачи и планировать выполнение задач командой. Активно участвовать во всем процессе разработки, начиная... Опыт 3+ лет в разработке веб-приложений на позициях не ниже Senior. Знание PHP 7+ или Node.js / Tornado. "
Системный администратор Linux / DevOps Engineer,https://hh.ru/vacancy/35507538?query=Node,ООО Простор,"Развитие и поддержка инфраструктуры Web-сервисов. Администрирование MySQL. Автоматизация процесса разработки (Docker, Ansible, GitLab, GitLab CI). Мониторинг (Zabbix, cacti, monit... "
СTO/Lead Developer,https://hh.ru/vacancy/35451561?query=Node,ООО Hyundai Motor CIS,"Проектирование и участие в построении архитектуры продуктов. Определение направления разработки, выбор платформы, технологических стеков, языков программирования, framework, баз данных.  Высшее техническое образование. Опыт работы в должности CTO от 3-х лет и более. Опыт работы с фреймворками React.js, React..."
Senior Software Development Manager (Java),https://hh.ru/vacancy/35483755?query=Node, Align Technology,"Manages team of 4 seasoned Java developers + 1 DevOps: designs, plans and coordinates day-to-day work; does people... 5+ years of experience in software development using Java. 2+ years of experience in leading software teams of..."
Frontend разработчик (React),https://hh.ru/vacancy/35421578?query=Node,ООО Арбиконде,Core - технологичный образовательный стартап. Наш продукт – web-based приложение для создания образовательных материалов и проверки знаний после обучения с аналитической... Отличные знания javascript (включая ES6+). Опыт работы с frontend от 3-х лет. React и Redux. 
Frontend-разработчик,https://hh.ru/vacancy/35018652?query=Node, AIC,"Конфигурации сборки client-side кода (Webpack, Rollup, Parcel, etc). — CSS (спецификации, CSS-in-JS решения). — HTML(спецификации, Accessibility). —  Уверенные знания: — JavaScript (ES2015+). — Web APIs (storages, notifications, geo, etc.). — Page rendering process. Желательно знание: — Node.js (Core, Express..."
Chief Technical Officer (CTO),https://hh.ru/vacancy/35048351?query=Node, LATOKEN,"Analyze best practices in crypto exchanges and trading products development. Design architecture, assign responsibility areas and manage the development of... 4+ team lead experience in a top tier IT company or 2+ years of CTO experience in well..."
